Iteration,Throughput,Optimum,Runtime
0,1926.0,1926.0,0
1,2390.0,2390.0,0
2,3770.0,3770.0,0
3,5121.0,5121.0,0
4,1585.0,5121.0,0
5,8056.0,8056.0,0
6,9340.0,9340.0,0
7,9915.0,9915.0,0
8,9225.0,9915.0,0
9,1588.0,9915.0,0
10,6964.0,9915.0,0
11,6217.0,9915.0,0
12,7940.0,9915.0,0
13,3694.0,9915.0,0
14,4868.0,9915.0,0
15,1390.0,9915.0,0
16,6327.0,9915.0,0
17,3239.0,9915.0,0
18,9359.0,9915.0,0
19,9417.0,9915.0,0
20,8301.0,9915.0,0
21,9607.0,9915.0,0
22,6796.0,9915.0,0
23,8303.0,9915.0,0
24,7551.0,9915.0,0
25,9689.0,9915.0,0
26,9028.0,9915.0,0
27,9160.0,9915.0,0
28,9444.0,9915.0,0
29,8449.0,9915.0,0
30,6747.0,9915.0,0
31,8972.0,9915.0,0
32,6319.0,9915.0,0
33,7583.0,9915.0,0
34,8861.0,9915.0,0
35,9933.0,9933.0,0
36,4530.0,9933.0,0
37,4450.0,9933.0,0
38,2708.0,9933.0,0
39,1144.0,9933.0,0
40,1385.0,9933.0,0
41,5901.0,9933.0,0
42,4623.0,9933.0,0
43,4111.0,9933.0,0
44,7337.0,9933.0,0
45,8958.0,9933.0,0
46,4245.0,9933.0,0
47,9149.0,9933.0,0
48,7329.0,9933.0,0
49,8658.0,9933.0,0
50,3882.0,9933.0,0
51,4648.0,9933.0,0
52,4916.0,9933.0,0
53,3376.0,9933.0,0
54,5902.0,9933.0,0
55,6080.0,9933.0,0
56,7866.0,9933.0,0
57,3960.0,9933.0,0
58,7765.0,9933.0,0
59,6680.0,9933.0,0
60,3273.0,9933.0,0
61,6313.0,9933.0,0
62,7163.0,9933.0,0
63,8772.0,9933.0,0
64,9929.0,9933.0,0
65,2334.0,9933.0,0
66,8753.0,9933.0,0
67,9702.0,9933.0,0
68,4705.0,9933.0,0
69,8476.0,9933.0,0
70,2134.0,9933.0,0
71,8984.0,9933.0,0
72,3917.0,9933.0,0
73,9288.0,9933.0,0
74,7107.0,9933.0,0
75,5618.0,9933.0,0
76,8431.0,9933.0,0
77,2887.0,9933.0,0
78,5295.0,9933.0,0
79,1755.0,9933.0,0
80,9063.0,9933.0,0
81,5078.0,9933.0,0
82,1999.0,9933.0,0
83,2932.0,9933.0,0
84,6596.0,9933.0,0
85,8883.0,9933.0,0
86,9341.0,9933.0,0
87,4218.0,9933.0,0
88,1350.0,9933.0,0
89,1533.0,9933.0,0
90,6089.0,9933.0,0
91,9636.0,9933.0,0
92,2770.0,9933.0,0
93,1624.0,9933.0,0
94,5346.0,9933.0,0
95,7578.0,9933.0,0
96,7316.0,9933.0,0
97,6064.0,9933.0,0
98,6211.0,9933.0,0
99,7985.0,9933.0,0
100,5821.0,9933.0,0
