Iteration,Throughput,Optimum,Runtime
0,3201.0,3201.0,0
1,5179.0,5179.0,0
2,9117.0,9117.0,0
3,8737.0,9117.0,0
4,4439.0,9117.0,0
5,8993.0,9117.0,0
6,7386.0,9117.0,0
7,1034.0,9117.0,0
8,5363.0,9117.0,0
9,2674.0,9117.0,0
10,1501.0,9117.0,0
11,1416.0,9117.0,0
12,1150.0,9117.0,0
13,4548.0,9117.0,0
14,1475.0,9117.0,0
15,4632.0,9117.0,0
16,9123.0,9123.0,0
17,6663.0,9123.0,0
18,4584.0,9123.0,0
19,5747.0,9123.0,0
20,7818.0,9123.0,0
21,4045.0,9123.0,0
22,2980.0,9123.0,0
23,9205.0,9205.0,0
24,9318.0,9318.0,0
25,5970.0,9318.0,0
26,9181.0,9318.0,0
27,7444.0,9318.0,0
28,8868.0,9318.0,0
29,7623.0,9318.0,0
30,3834.0,9318.0,0
31,9991.0,9991.0,0
32,2416.0,9991.0,0
33,4024.0,9991.0,0
34,4180.0,9991.0,0
35,2885.0,9991.0,0
36,1352.0,9991.0,0
37,4698.0,9991.0,0
38,9749.0,9991.0,0
39,6002.0,9991.0,0
40,4802.0,9991.0,0
41,6408.0,9991.0,0
42,8014.0,9991.0,0
43,6334.0,9991.0,0
44,7673.0,9991.0,0
45,5704.0,9991.0,0
46,6522.0,9991.0,0
47,6588.0,9991.0,0
48,3552.0,9991.0,0
49,7165.0,9991.0,0
50,4918.0,9991.0,0
51,3280.0,9991.0,0
52,9238.0,9991.0,0
53,6914.0,9991.0,0
54,1610.0,9991.0,0
55,9209.0,9991.0,0
56,4944.0,9991.0,0
57,7664.0,9991.0,0
58,9987.0,9991.0,0
59,6826.0,9991.0,0
60,6286.0,9991.0,0
61,6096.0,9991.0,0
62,3551.0,9991.0,0
63,6247.0,9991.0,0
64,8297.0,9991.0,0
65,2913.0,9991.0,0
66,1239.0,9991.0,0
67,4565.0,9991.0,0
68,2551.0,9991.0,0
69,4601.0,9991.0,0
70,4412.0,9991.0,0
71,6644.0,9991.0,0
72,1668.0,9991.0,0
73,6828.0,9991.0,0
74,5445.0,9991.0,0
75,2295.0,9991.0,0
76,3058.0,9991.0,0
77,4769.0,9991.0,0
78,3616.0,9991.0,0
79,7865.0,9991.0,0
80,3764.0,9991.0,0
81,3731.0,9991.0,0
82,7017.0,9991.0,0
83,4613.0,9991.0,0
84,5094.0,9991.0,0
85,3170.0,9991.0,0
86,8676.0,9991.0,0
87,5850.0,9991.0,0
88,7806.0,9991.0,0
89,5346.0,9991.0,0
90,4398.0,9991.0,0
91,4458.0,9991.0,0
92,4269.0,9991.0,0
93,8006.0,9991.0,0
94,5773.0,9991.0,0
95,4812.0,9991.0,0
96,7207.0,9991.0,0
97,8390.0,9991.0,0
98,9537.0,9991.0,0
99,7335.0,9991.0,0
100,5043.0,9991.0,0
