Iteration,Throughput,Optimum,Runtime
0,4867.0,4867.0,0
1,2690.0,4867.0,0
2,8845.0,8845.0,0
3,2476.0,8845.0,0
4,1324.0,8845.0,0
5,5741.0,8845.0,0
6,4636.0,8845.0,0
7,9792.0,9792.0,0
8,5533.0,9792.0,0
9,2739.0,9792.0,0
10,4512.0,9792.0,0
11,5264.0,9792.0,0
12,4169.0,9792.0,0
13,6076.0,9792.0,0
14,7101.0,9792.0,0
15,6528.0,9792.0,0
16,9289.0,9792.0,0
17,3912.0,9792.0,0
18,8759.0,9792.0,0
19,2463.0,9792.0,0
20,5919.0,9792.0,0
21,5783.0,9792.0,0
22,9329.0,9792.0,0
23,7782.0,9792.0,0
24,5721.0,9792.0,0
25,8395.0,9792.0,0
26,4821.0,9792.0,0
27,5254.0,9792.0,0
28,2328.0,9792.0,0
29,8580.0,9792.0,0
30,9501.0,9792.0,0
31,8720.0,9792.0,0
32,3376.0,9792.0,0
33,4305.0,9792.0,0
34,4642.0,9792.0,0
35,1027.0,9792.0,0
36,7564.0,9792.0,0
37,6380.0,9792.0,0
38,9344.0,9792.0,0
39,3470.0,9792.0,0
40,1095.0,9792.0,0
41,2023.0,9792.0,0
42,8400.0,9792.0,0
43,7575.0,9792.0,0
44,5994.0,9792.0,0
45,5096.0,9792.0,0
46,5464.0,9792.0,0
47,9079.0,9792.0,0
48,2007.0,9792.0,0
49,9900.0,9900.0,0
50,6806.0,9900.0,0
51,3483.0,9900.0,0
52,1420.0,9900.0,0
53,7673.0,9900.0,0
54,7308.0,9900.0,0
55,3302.0,9900.0,0
56,4459.0,9900.0,0
57,3273.0,9900.0,0
58,8743.0,9900.0,0
59,3036.0,9900.0,0
60,7992.0,9900.0,0
61,2696.0,9900.0,0
62,8893.0,9900.0,0
63,1450.0,9900.0,0
64,4617.0,9900.0,0
65,6281.0,9900.0,0
66,6283.0,9900.0,0
67,6830.0,9900.0,0
68,1860.0,9900.0,0
69,8920.0,9900.0,0
70,6359.0,9900.0,0
71,2514.0,9900.0,0
72,4623.0,9900.0,0
73,2848.0,9900.0,0
74,5234.0,9900.0,0
75,5000.0,9900.0,0
76,8215.0,9900.0,0
77,7789.0,9900.0,0
78,7152.0,9900.0,0
79,8366.0,9900.0,0
80,3294.0,9900.0,0
81,8752.0,9900.0,0
82,9646.0,9900.0,0
83,2994.0,9900.0,0
84,3932.0,9900.0,0
85,6370.0,9900.0,0
86,5303.0,9900.0,0
87,6884.0,9900.0,0
88,5945.0,9900.0,0
89,4314.0,9900.0,0
90,1445.0,9900.0,0
91,1354.0,9900.0,0
92,3600.0,9900.0,0
93,2630.0,9900.0,0
94,4228.0,9900.0,0
95,3726.0,9900.0,0
96,8377.0,9900.0,0
97,6062.0,9900.0,0
98,1390.0,9900.0,0
99,3279.0,9900.0,0
100,5442.0,9900.0,0
